id,company_id,user_id,rating,text
1,5,490,1,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
2,35,284,5,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
3,19,319,5,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
4,48,513,3,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
5,1,713,1,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
6,26,56,2,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
7,40,168,4,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel
8,11,615,3,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque
9,50,15,1,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
10,42,383,2,libero nam dui proin leo odio porttitor id consequat in
11,15,702,4,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
12,33,428,2,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue
13,38,511,2,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
14,29,747,1,ultrices vel augue vestibulum ante ipsum primis in faucibus orci
15,34,117,1,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
16,24,870,1,luctus nec molestie sed justo pellentesque viverra pede ac diam cras
17,13,959,1,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
18,25,300,1,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
19,7,440,2,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
20,10,651,3,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
21,4,467,4,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
22,3,943,2,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
23,14,714,3,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
24,22,232,5,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
25,32,517,5,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
26,45,235,3,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
27,30,698,2,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
28,37,330,5,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
29,31,102,5,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
30,43,198,5,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
