id,company_id,role,title,description,salary_h,hours_per_week,area,location,years_xp,work_model,contract_type,date_expires
1,44,Help Desk Operator,Help Desk Operator 5,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,13,27,Investment Bankers/Brokers/Service,80975 Del Mar Pass,10+ anos,Remoto,Tempo inteiro,2023-11-03
2,21,Executive Secretary,Executive Secretary 39,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,49,25,Computer Software: Prepackaged Software,60016 Anzinger Plaza,3-5 anos,Presencial,Tempo inteiro,2023-08-19
3,28,Environmental Specialist,Environmental Specialist 45,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,30,40,n/a,721 Morrow Court,0 anos,Híbrido,Meia jornada,2023-03-03
4,36,Pharmacist,Pharmacist 35,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,63,38,Real Estate Investment Trusts,73 Golf Place,5-10 anos,Remoto,Meia jornada,2023-06-06
5,48,Structural Analysis Engineer,Structural Analysis Engineer 40,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,41,33,Major Banks,23897 Columbus Place,0-3 anos,Remoto,Estágio,2023-04-10
6,39,Clinical Specialist,Clinical Specialist 26,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,67,20,Aerospace,7 Artisan Court,5-10 anos,Remoto,Estágio,2023-07-03
7,6,Payment Adjustment Coordinator,Payment Adjustment Coordinator 6,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,50,27,Business Services,9643 Corry Lane,5-10 anos,Híbrido,Tempo inteiro,2022-11-27
8,45,Senior Financial Analyst,Senior Financial Analyst 39,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,58,36,n/a,02325 Chive Center,3-5 anos,Híbrido,Estágio,2023-04-30
9,47,VP Sales,VP Sales 78,nec dui luctus rutrum nulla tellus in sagittis dui vel,102,35,Major Banks,79031 Lighthouse Bay Road,3-5 anos,Remoto,Meia jornada,2023-08-12
10,12,Executive Secretary,Executive Secretary 100,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,19,33,Semiconductors,44598 Arizona Center,0 anos,Híbrido,Tempo inteiro,2023-04-27
11,16,Safety Technician I,Safety Technician I 22,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,125,39,Oil & Gas Production,63077 Grasskamp Lane,0 anos,Remoto,Estágio,2023-04-02
12,33,Engineer I,Engineer I 77,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,12,24,Commercial Banks,605 Lillian Avenue,5-10 anos,Presencial,Estágio,2023-10-14
13,1,Help Desk Technician,Help Desk Technician 97,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,40,33,Oil & Gas Production,2 Eastlawn Parkway,10+ anos,Remoto,Meia jornada,2023-11-08
14,4,Director of Sales,Director of Sales 42,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,43,31,Metal Fabrications,77381 Scoville Street,5-10 anos,Presencial,Estágio,2023-06-24
15,41,Product Engineer,Product Engineer 36,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,39,20,Investment Managers,39840 Bunting Circle,0-3 anos,Presencial,Tempo inteiro,2023-11-12
16,7,Editor,Editor 96,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,115,34,Miscellaneous manufacturing industries,35270 Delaware Way,0-3 anos,Híbrido,Estágio,2023-02-26
17,32,Executive Secretary,Executive Secretary 67,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,61,38,Oil & Gas Production,11 Elka Court,10+ anos,Remoto,Tempo inteiro,2023-06-13
18,9,Account Representative III,Account Representative III 20,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,95,33,n/a,65247 Mallory Court,10+ anos,Remoto,Meia jornada,2022-12-23
19,42,Junior Executive,Junior Executive 92,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,22,20,n/a,38 Spaight Hill,3-5 anos,Presencial,Estágio,2023-08-24
20,14,Payment Adjustment Coordinator,Payment Adjustment Coordinator 12,at turpis donec posuere metus vitae ipsum aliquam non mauris,123,40,n/a,8 Scoville Avenue,5-10 anos,Presencial,Tempo inteiro,2023-02-21
21,5,Librarian,Librarian 61,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,64,39,Hospital/Nursing Management,458 Elgar Terrace,10+ anos,Híbrido,Tempo inteiro,2022-12-18
22,23,Administrative Officer,Administrative Officer 29,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,105,29,Industrial Machinery/Components,8 Moulton Circle,0 anos,Remoto,Meia jornada,2023-04-10
23,25,Business Systems Development Analyst,Business Systems Development Analyst 20,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,47,37,Major Pharmaceuticals,71398 Graceland Pass,10+ anos,Presencial,Tempo inteiro,2023-10-13
24,34,Software Engineer IV,Software Engineer IV 48,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,44,23,Precious Metals,79 Lighthouse Bay Pass,10+ anos,Presencial,Estágio,2023-10-31
25,49,Quality Engineer,Quality Engineer 63,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,52,33,Major Banks,9521 Huxley Court,0 anos,Presencial,Estágio,2023-05-15
26,35,Clinical Specialist,Clinical Specialist 43,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,96,39,Investment Bankers/Brokers/Service,7544 Ruskin Road,0-3 anos,Híbrido,Meia jornada,2023-08-04
27,30,Nurse,Nurse 42,ut odio cras mi pede malesuada in imperdiet et commodo vulputate,49,31,Medical/Nursing Services,906 Hazelcrest Way,0 anos,Remoto,Tempo inteiro,2023-10-27
28,17,Product Engineer,Product Engineer 93,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,70,29,Medical/Nursing Services,6426 New Castle Court,0 anos,Remoto,Estágio,2023-02-03
29,50,Assistant Professor,Assistant Professor 84,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,51,39,Major Pharmaceuticals,0 Declaration Street,5-10 anos,Remoto,Estágio,2023-11-05
30,31,Analog Circuit Design manager,Analog Circuit Design manager 35,dui luctus rutrum nulla tellus in sagittis dui vel nisl,36,27,Electric Utilities: Central,2 Carberry Plaza,3-5 anos,Presencial,Tempo inteiro,2023-01-14
31,22,Accounting Assistant III,Accounting Assistant III 39,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,117,33,Oil & Gas Production,3 Bay Plaza,5-10 anos,Híbrido,Estágio,2023-01-16
32,20,Quality Engineer,Quality Engineer 66,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,55,32,Investment Bankers/Brokers/Service,89468 Transport Lane,3-5 anos,Remoto,Meia jornada,2023-06-28
33,11,VP Marketing,VP Marketing 4,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,70,33,Biotechnology: Commercial Physical & Biological Resarch,1431 East Alley,0-3 anos,Híbrido,Tempo inteiro,2023-10-14
34,40,Automation Specialist II,Automation Specialist II 85,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,41,24,n/a,10 Schmedeman Plaza,0-3 anos,Híbrido,Estágio,2023-11-07
35,27,Project Manager,Project Manager 96,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,90,26,Major Pharmaceuticals,94 Mariners Cove Circle,0-3 anos,Presencial,Tempo inteiro,2023-10-28
36,38,Teacher,Teacher 41,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,110,26,n/a,752 Golf Crossing,10+ anos,Remoto,Meia jornada,2023-03-24
37,2,Nuclear Power Engineer,Nuclear Power Engineer 8,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,70,26,Computer Software: Prepackaged Software,8544 Forest Run Park,5-10 anos,Remoto,Tempo inteiro,2023-08-25
38,46,Executive Secretary,Executive Secretary 33,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,66,21,Telecommunications Equipment,7322 Magdeline Plaza,10+ anos,Presencial,Tempo inteiro,2022-12-12
39,43,Recruiting Manager,Recruiting Manager 74,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,29,40,Major Chemicals,1404 Carioca Park,10+ anos,Presencial,Estágio,2023-04-21
40,15,Information Systems Manager,Information Systems Manager 85,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,32,29,Catalog/Specialty Distribution,0 Gulseth Circle,10+ anos,Presencial,Tempo inteiro,2023-04-08
41,24,Product Engineer,Product Engineer 12,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,18,31,n/a,0 Aberg Plaza,0-3 anos,Remoto,Tempo inteiro,2023-11-03
42,37,Pharmacist,Pharmacist 60,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,15,33,Mining & Quarrying of Nonmetallic Minerals (No Fuels),128 Goodland Lane,5-10 anos,Remoto,Estágio,2023-07-31
43,8,Account Executive,Account Executive 71,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,10,24,Real Estate,5872 Beilfuss Way,10+ anos,Presencial,Meia jornada,2022-12-22
44,10,Senior Developer,Senior Developer 3,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,84,23,n/a,1 Fairview Way,3-5 anos,Presencial,Meia jornada,2023-02-13
45,18,Analog Circuit Design manager,Analog Circuit Design manager 95,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,64,30,Electric Utilities: Central,92 Elka Court,0-3 anos,Remoto,Tempo inteiro,2023-09-03
46,13,Executive Secretary,Executive Secretary 68,in felis donec semper sapien a libero nam dui proin leo odio porttitor id,57,34,Real Estate Investment Trusts,8132 Rockefeller Lane,3-5 anos,Híbrido,Tempo inteiro,2023-03-11
47,3,Junior Executive,Junior Executive 4,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,42,20,Mining & Quarrying of Nonmetallic Minerals (No Fuels),90 Bluejay Plaza,0-3 anos,Presencial,Meia jornada,2023-04-04
48,29,Programmer Analyst II,Programmer Analyst II 22,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,13,33,Investment Managers,821 Golf Course Point,5-10 anos,Híbrido,Meia jornada,2023-07-15
